# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	5.5492
2,	7.9149
1,	11.1914
1,	13.9905
2,	18.9532
3,	23.1075
4,	25.6726
5,	29.1052
1,	33.5067
2,	36.5946
3,	40.5077
4,	44.8365
3,	48.4931
4,	51.5096
5,	55.4435
5,	61.8757
1,	69.3124
1,	72.4461
2,	76.5789
3,	81.1657
3,	83.7787
3,	87.0640
4,	90.3584
4,	93.5860
4,	97.3933
5,	100.4319
5,	105.5993
5,	110.4080
1,	115.7329
1,	119.2804
2,	122.7635
2,	125.7642
3,	135.6065
4,	138.5157
5,	141.8272
5,	145.3280
1,	150.4644
2,	153.1453
4,	156.4558
5,	160.5200
5,	165.3337
1,	168.9566
3,	172.1402
4,	174.2283
5,	177.0785
5,	180.8053
1,	184.2387
2,	186.3765
