# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	9.9953
1,	14.0867
2,	16.7407
2,	19.5746
1,	22.6953
1,	25.0831
2,	27.4790
1,	29.8218
2,	32.0562
2,	34.2129
1,	36.1184
1,	38.2997
1,	40.9651
2,	43.3715
2,	45.2686
1,	47.5951
1,	49.6211
2,	51.7123
2,	53.6555
2,	55.4224
1,	59.0246
1,	61.2689
1,	63.1826
2,	65.2304
2,	67.1201
2,	69.2827
1,	71.8956
1,	74.0084
0,	76.2995
1,	76.3693
2,	79.1147
2,	81.3441
2,	83.7994
1,	85.6787
1,	88.0523
1,	90.2883
2,	92.2875
2,	94.2759
1,	96.1389
1,	98.0787
2,	100.6901
2,	103.0682
2,	105.4635
1,	107.8626
1,	110.1330
1,	112.3819
2,	114.7526
2,	116.7907
1,	119.2251
1,	121.3550
1,	123.7063
2,	125.5660
2,	127.8968
2,	130.4740
1,	133.2379
1,	135.5927
1,	137.9786
1,	142.9968
1,	145.8524
2,	148.4253
2,	150.6969
1,	153.5263
1,	155.7872
1,	157.9725
2,	160.5484
2,	162.7991
2,	164.7930
1,	166.9089
1,	169.1923
2,	171.2893
2,	173.2866
2,	175.1507
2,	177.2419
1,	179.2657
2,	181.4798
