,sample,time_sec,event_id,event_type,event_color
0,-105.98,0.0,,,
1,129.44,0.01,,,
2,-33.44,0.02,,,
3,116.55,0.03,,,
4,-125.85,0.04,,,
5,13.61,0.05,,,
6,-85.9,0.06,,,
7,68.67,0.07,,,
8,-175.47,0.08,,,
9,-3.37,0.09,,,
10,-359.69,0.1,,,
11,-575.37,0.11,,,
12,-353.3,0.12,,,
13,1027.22,0.13,,,
14,1831.2,0.14,,,
15,3033.98,0.15,,,
16,3740.01,0.16,,,
17,4619.53,0.17,,,
18,4959.1,0.18,,,
19,5327.39,0.19,,,
20,5225.87,0.2,,,
21,5352.06,0.21,,,
22,4909.64,0.22,,,
23,4849.19,0.23,,,
24,4229.0,0.24,,,
25,3822.73,0.25,,,
26,2844.53,0.26,,,
27,2182.8,0.27,,,
28,1348.930693069307,0.28,,,
29,1139.3535353535353,0.2901,,,
30,584.88,0.3,,,
31,327.49,0.31,,,
32,-311.8,0.32,,,
33,-750.09,0.33,,,
34,-1446.51,0.34,,,
35,-1391.95,0.35,,,
36,-1780.78,0.36,,,
37,-1862.8,0.37,,,
38,-2354.91,0.38,,,
39,-2613.85,0.39,,,
40,-3199.59,0.4,,,
41,-3291.01,0.41,,,
42,-3822.94,0.42,,,
43,-3838.3,0.43,,,
44,-4095.15,0.44,,,
45,-3821.74,0.45,,,
46,-3920.34,0.46,,,
47,-3657.16,0.47,,,
48,-3774.38,0.48,,,
49,-3420.46,0.49,,,
50,-3501.38,0.5,,,
51,-3100.05,0.51,,,
52,-3130.03,0.52,,,
53,-2799.76,0.53,,,
54,-2791.78,0.54,,,
55,-2394.48,0.55,,,
56,-2465.3267326732675,0.56,,,
57,-2074.84,0.5701,,,
58,-1994.4949494949494,0.5801,,,
59,-1610.39,0.59,,,
60,-1637.76,0.6,,,
61,-1253.91,0.61,,,
62,-1316.43,0.62,,,
63,-873.19,0.63,,,
64,-576.06,0.64,,,
65,-170.46,0.65,,,
66,-348.0,0.66,,,
67,-109.91,0.67,,,
68,-212.5,0.68,,,
69,-36.57,0.69,,,
70,-153.17,0.7,,,
71,97.18,0.71,,,
72,-6.83,0.72,,,
73,115.97,0.73,,,
74,-107.51,0.74,,,
75,-139.52,0.75,,,
76,197.81,0.76,,,
77,83.8,0.77,,,
78,257.31,0.78,,,
79,97.76,0.79,,,
80,254.65,0.8,,,
81,69.1,0.81,,,
82,375.45,0.82,,,
83,358.28,0.83,,,
84,514.96,0.84,,,
85,447.12,0.85,,,
86,615.4,0.86,,,
87,420.85,0.87,,,
88,550.56,0.88,,,
89,438.86,0.89,,,
90,606.52,0.9,,,
91,372.94,0.91,,,
92,720.7,0.92,,,
93,607.56,0.93,,,
94,741.24,0.94,,,
95,417.76,0.95,,,
96,612.24,0.96,,,
97,391.08,0.97,,,
98,638.41,0.98,,,
99,146.09,0.99,,,
100,-394.62,1.0,,,
101,-1493.49,1.01,,,
102,-2296.59,1.02,,,
103,-3663.59,1.03,,,
104,-4080.56,1.04,,,
105,-4857.67,1.05,,,
106,-5306.08,1.06,,,
107,-5872.56,1.07,,,
108,-5820.39,1.08,,,
109,-5949.61,1.09,,,
110,-5317.07,1.1,,,
111,-5218.83,1.11,,,
112,-4294.346534653465,1.12,,,
113,-3768.52,1.1301,,,
114,-2612.97,1.1401,,,
115,-1924.28,1.1501,,,
116,-903.2424242424242,1.1601,,,
117,-680.41,1.17,,,
118,193.77,1.18,,,
119,557.75,1.19,,,
120,1572.17,1.2,,,
121,2072.74,1.21,,,
122,3146.17,1.22,,,
123,3572.29,1.23,,,
124,4459.82,1.24,,,
125,4340.44,1.25,,,
126,4663.6,1.26,,,
127,4405.64,1.27,,,
128,4877.06,1.28,,,
129,4945.16,1.29,,,
130,5056.03,1.3,,,
131,4440.54,1.31,,,
132,4634.35,1.32,,,
133,4315.99,1.33,,,
134,4393.14,1.34,,,
135,3795.53,1.35,,,
136,3838.36,1.36,,,
137,3369.77,1.37,,,
138,3532.89,1.38,,,
139,3163.36,1.39,,,
140,3079.33,1.4,,,
141,2458.11,1.41,,,
142,2636.53,1.42,,,
143,2235.18,1.43,,,
144,2310.22,1.44,,,
145,1731.9,1.45,,,
146,1872.56,1.46,,,
147,1484.61,1.47,,,
148,1508.68,1.48,,,
149,961.12,1.49,,,
150,1106.02,1.5,,,
151,770.03,1.51,,,
152,818.06,1.52,,,
153,139.52,1.53,,,
154,514.57,1.54,,,
155,2018.26,1.55,,,
156,2551.85,1.56,,,
157,2720.92,1.57,,,
158,1997.72,1.58,,,
159,1873.07,1.59,,,
160,1060.14,1.6,,,
161,876.08,1.61,,,
162,259.81,1.62,,,
163,338.69,1.63,,,
164,142.98,1.64,,,
165,101.43,1.65,,,
166,-335.32,1.66,,,
167,-255.24,1.67,,,
168,-674.93,1.68,,,
169,-439.93,1.69,,,
170,-927.76,1.7,,,
171,-1740.5,1.71,,,
172,-3089.65,1.72,,,
173,-3684.45,1.73,,,
174,-4396.6,1.74,,,
175,-3913.9,1.75,,,
176,-3475.06,1.76,,,
177,-2657.32,1.77,,,
178,-2445.93,1.78,,,
179,-1874.71,1.79,,,
