time_sec,action,action_name
1652406595.33464,L,Left Wink
1652406599.91659,L,Left Wink
1652406601.8486762,L,Left Wink
1652406604.700193,S,Double Blink
1652406607.071608,R,Right Wink
1652406609.61512,R,Right Wink
1652406611.549549,S,Double Blink
1652406616.981034,R,Right Wink
1652406622.1103501,S,Double Blink
1652406627.028845,S,Double Blink
1652406629.0293682,S,Double Blink
1652406632.759522,S,Double Blink
1652406636.965302,S,Double Blink
1652406642.729794,R,Right Wink
1652406644.726368,R,Right Wink
1652406648.0512052,R,Right Wink
1652406650.044372,R,Right Wink
1652406652.617572,L,Left Wink
1652406657.061506,R,Right Wink
1652406662.251286,R,Right Wink
1652406667.1332989,L,Left Wink
1652406669.365025,L,Left Wink
1652406672.5907829,L,Left Wink
1652406674.8978372,R,Right Wink
1652406678.558985,R,Right Wink
1652406680.90047,S,Double Blink
1652406685.2063308,S,Double Blink
1652406690.5657651,R,Right Wink
1652406694.671623,S,Double Blink
1652406696.2308962,S,Double Blink
1652406700.6026108,S,Double Blink
1652406703.043945,L,Left Wink
1652406708.3110368,R,Right Wink
1652406710.245354,R,Right Wink
1652406712.689101,S,Double Blink
1652406716.455713,S,Double Blink
1652406718.149598,L,Left Wink
1652406719.703146,R,Right Wink
1652406722.825482,R,Right Wink
1652406727.260306,S,Double Blink
1652406730.757032,L,Left Wink
1652406735.163359,L,Left Wink
1652406740.047186,R,Right Wink
1652406743.299988,S,Double Blink
1652406748.9299421,L,Left Wink
1652406753.004249,S,Double Blink
1652406755.1712089,S,Double Blink
1652406757.307124,L,Left Wink
1652406761.954945,R,Right Wink
1652406767.9159229,R,Right Wink
1652406770.9670668,S,Double Blink
1652406774.126101,S,Double Blink
