time_sec,action,action_name
1652658721.113624,S,Double Blink
1652658724.260304,L,Left Wink
1652658727.167905,L,Left Wink
1652658730.457258,L,Left Wink
1652658734.756547,R,Right Wink
1652658737.440716,R,Right Wink
1652658742.5923882,S,Double Blink
1652658747.782953,S,Double Blink
1652658752.500052,S,Double Blink
1652658756.47089,R,Right Wink
1652658759.557156,R,Right Wink
1652658764.094042,S,Double Blink
1652658769.522581,L,Left Wink
1652658774.922446,S,Double Blink
1652658780.889747,S,Double Blink
1652658786.484587,R,Right Wink
1652658789.364286,L,Left Wink
1652658794.653445,R,Right Wink
1652658797.806008,L,Left Wink
1652658803.775658,S,Double Blink
1652658809.396628,L,Left Wink
1652658814.926005,R,Right Wink
1652658818.462662,R,Right Wink
1652658824.024661,L,Left Wink
1652658827.002272,S,Double Blink
1652658829.853407,S,Double Blink
1652658835.37598,L,Left Wink
1652658837.0760808,S,Double Blink
1652658838.975269,R,Right Wink
1652658844.4342248,S,Double Blink
1652658847.827182,L,Left Wink
1652658850.0966458,S,Double Blink
1652658854.4083478,S,Double Blink
1652658858.714221,L,Left Wink
1652658862.316755,S,Double Blink
1652658868.249801,R,Right Wink
1652658870.722215,L,Left Wink
1652658872.968133,R,Right Wink
1652658877.841126,S,Double Blink
