time_sec,action,action_name
1652664410.162963,L,Left Wink
1652664416.1279182,L,Left Wink
1652664418.39621,R,Right Wink
1652664422.0550709,S,Double Blink
1652664426.703848,L,Left Wink
1652664429.7930272,S,Double Blink
1652664433.4227672,S,Double Blink
1652664435.052185,S,Double Blink
1652664437.766408,R,Right Wink
1652664442.692561,L,Left Wink
1652664445.236097,R,Right Wink
1652664450.6938071,S,Double Blink
1652664456.49073,R,Right Wink
1652664462.2911968,S,Double Blink
1652664467.854741,S,Double Blink
1652664470.940702,R,Right Wink
1652664476.288569,L,Left Wink
1652664482.227066,S,Double Blink
1652664488.197819,L,Left Wink
1652664492.106696,S,Double Blink
1652664494.4096792,R,Right Wink
1652664498.5448792,S,Double Blink
1652664504.411124,S,Double Blink
1652664509.8374012,S,Double Blink
1652664514.475151,R,Right Wink
1652664516.5065851,R,Right Wink
1652664522.4278998,S,Double Blink
1652664526.43079,L,Left Wink
1652664530.939109,R,Right Wink
1652664536.465516,S,Double Blink
1652664538.035461,L,Left Wink
1652664544.0348198,L,Left Wink
1652664547.76327,L,Left Wink
1652664551.483951,L,Left Wink
1652664556.0041091,R,Right Wink
