time_sec,action,action_name
1652401746.221174,L,Left Wink
1652401751.068198,L,Left Wink
1652401755.20721,S,Double Blink
1652401759.645739,R,Right Wink
1652401765.275864,S,Double Blink
1652401767.414103,S,Double Blink
1652401773.102436,L,Left Wink
1652401778.091462,R,Right Wink
1652401781.621096,L,Left Wink
1652401783.2539752,R,Right Wink
1652401785.83149,S,Double Blink
1652401791.025835,R,Right Wink
1652401795.877307,S,Double Blink
1652401800.050084,R,Right Wink
1652401804.900463,S,Double Blink
1652401808.128033,L,Left Wink
1652401813.0425642,R,Right Wink
1652401815.486961,S,Double Blink
1652401818.54601,S,Double Blink
1652401823.603769,R,Right Wink
1652401825.673836,S,Double Blink
1652401828.723828,L,Left Wink
1652401831.441129,S,Double Blink
1652401834.328164,S,Double Blink
1652401838.0557802,S,Double Blink
1652401843.578912,R,Right Wink
1652401847.575596,R,Right Wink
1652401852.968361,S,Double Blink
1652401855.714096,R,Right Wink
1652401861.57515,S,Double Blink
1652401863.403383,L,Left Wink
1652401867.1308842,S,Double Blink
1652401871.577365,L,Left Wink
1652401876.089886,R,Right Wink
1652401879.9170198,L,Left Wink
1652401884.966634,R,Right Wink
1652401890.796726,R,Right Wink
1652401893.511745,L,Left Wink
1652401896.089687,L,Left Wink
1652401900.494087,R,Right Wink
1652401905.95516,S,Double Blink
1652401911.14479,L,Left Wink
1652401914.130788,L,Left Wink
