time_sec,action,action_name
1652406794.346605,L,Left Wink
1652406797.969996,S,Double Blink
1652406800.610741,R,Right Wink
1652406802.8525372,R,Right Wink
1652406806.484997,L,Left Wink
1652406808.2499552,L,Left Wink
1652406810.483352,S,Double Blink
1652406814.9993348,L,Left Wink
1652406818.2164018,R,Right Wink
1652406823.004299,L,Left Wink
1652406827.110969,R,Right Wink
1652406830.26839,L,Left Wink
1652406836.1304781,S,Double Blink
1652406838.436343,L,Left Wink
1652406842.750413,S,Double Blink
1652406847.251673,L,Left Wink
1652406850.200952,R,Right Wink
1652406853.4551759,L,Left Wink
1652406856.8164742,R,Right Wink
1652406861.0899131,L,Left Wink
1652406864.782432,L,Left Wink
1652406867.252934,L,Left Wink
1652406868.942656,L,Left Wink
1652406874.0980322,R,Right Wink
1652406876.272405,S,Double Blink
1652406881.528527,L,Left Wink
1652406884.1401558,S,Double Blink
1652406888.8221838,S,Double Blink
1652406892.0421388,R,Right Wink
1652406896.346387,L,Left Wink
1652406898.448396,S,Double Blink
1652406901.264747,L,Left Wink
1652406904.524514,R,Right Wink
1652406907.675891,R,Right Wink
1652406909.6108968,R,Right Wink
1652406911.5132859,S,Double Blink
1652406913.750409,R,Right Wink
1652406917.92538,S,Double Blink
1652406920.8747132,R,Right Wink
1652406926.4953449,S,Double Blink
1652406928.936873,L,Left Wink
1652406933.307892,R,Right Wink
1652406935.517107,L,Left Wink
1652406939.356086,L,Left Wink
1652406944.5148108,L,Left Wink
1652406950.344342,S,Double Blink
1652406953.973985,S,Double Blink
1652406959.299592,L,Left Wink
1652406962.930614,L,Left Wink
1652406966.866213,L,Left Wink
