time_sec,action,action_name
1652662158.813339,L,Left Wink
1652662161.899751,S,Double Blink
1652662164.684709,S,Double Blink
1652662168.2073731,L,Left Wink
1652662173.527273,L,Left Wink
1652662176.6073432,R,Right Wink
1652662181.5301938,R,Right Wink
1652662187.3575082,S,Double Blink
1652662192.3342662,L,Left Wink
1652662196.949098,L,Left Wink
1652662202.8888068,R,Right Wink
1652662208.887965,L,Left Wink
1652662210.685044,R,Right Wink
1652662214.417085,L,Left Wink
1652662220.247295,L,Left Wink
1652662224.6972852,S,Double Blink
1652662227.611074,L,Left Wink
1652662229.510848,L,Left Wink
1652662231.510184,L,Left Wink
1652662237.307508,R,Right Wink
1652662242.0561438,S,Double Blink
1652662244.226694,S,Double Blink
1652662246.977584,L,Left Wink
1652662249.188142,S,Double Blink
1652662250.7456372,L,Left Wink
1652662256.550518,L,Left Wink
1652662258.382688,S,Double Blink
1652662260.045826,L,Left Wink
1652662262.763936,S,Double Blink
1652662268.487339,S,Double Blink
1652662272.657599,S,Double Blink
1652662276.047453,R,Right Wink
1652662281.198011,L,Left Wink
1652662287.0356438,R,Right Wink
1652662292.62852,R,Right Wink
1652662298.423569,R,Right Wink
1652662303.501358,L,Left Wink
1652662305.536597,S,Double Blink
1652662307.562076,S,Double Blink
1652662313.494068,R,Right Wink
1652662316.9129448,R,Right Wink
1652662320.204201,L,Left Wink
1652662324.611465,R,Right Wink
