time_sec,action,action_name
1652664622.30467,R,Right Wink
1652664625.935634,R,Right Wink
1652664629.052487,S,Double Blink
1652664634.544915,L,Left Wink
1652664636.511778,R,Right Wink
1652664638.760198,L,Left Wink
1652664644.7833831,S,Double Blink
1652664650.369757,S,Double Blink
1652664655.2738938,S,Double Blink
1652664660.091831,R,Right Wink
1652664663.964024,L,Left Wink
1652664666.40676,S,Double Blink
1652664669.79893,L,Left Wink
1652664672.6107972,S,Double Blink
1652664676.31383,S,Double Blink
1652664680.718327,R,Right Wink
1652664684.789811,R,Right Wink
1652664688.74472,R,Right Wink
1652664690.7466052,R,Right Wink
1652664695.304823,R,Right Wink
1652664701.0980082,R,Right Wink
1652664706.181628,R,Right Wink
1652664710.348255,S,Double Blink
1652664712.649272,R,Right Wink
1652664718.267562,R,Right Wink
1652664723.313622,L,Left Wink
1652664728.058928,R,Right Wink
1652664731.312769,R,Right Wink
1652664736.133512,S,Double Blink
1652664738.029494,R,Right Wink
1652664742.07268,R,Right Wink
1652664744.176891,S,Double Blink
1652664748.448588,S,Double Blink
1652664753.7410638,L,Left Wink
1652664758.077075,L,Left Wink
1652664763.7606132,S,Double Blink
1652664767.803682,L,Left Wink
1652664771.462962,L,Left Wink
1652664774.516601,R,Right Wink
1652664776.048053,L,Left Wink
