# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	10.7357
2,	14.1648
3,	17.3138
1,	23.0239
1,	26.6532
1,	29.2896
4,	36.7437
3,	43.0203
3,	45.6990
1,	47.9885
2,	50.2665
4,	53.8877
4,	58.0241
1,	61.5777
2,	64.4065
5,	68.9041
1,	73.4012
2,	75.9284
3,	81.7149
4,	85.0510
4,	88.5251
1,	92.0940
1,	95.0109
2,	98.5153
2,	101.6560
3,	107.2014
4,	110.2847
5,	113.8863
1,	121.0110
2,	125.2421
3,	127.8978
1,	131.3299
1,	133.8146
2,	138.2874
5,	144.1473
5,	148.7638
4,	154.6772
3,	158.3691
3,	162.0915
1,	165.5818
1,	168.8155
2,	171.6386
3,	175.2877
4,	181.7574
5,	186.4506
1,	192.2673
2,	194.9597
3,	197.9249
4,	202.6468
4,	206.4747
5,	210.7436
5,	217.4134
3,	222.8639
1,	234.6474
1,	237.4439
2,	240.7245
2,	244.1721
3,	250.2265
4,	253.6119
5,	259.2783
5,	263.9341
1,	269.4326
2,	273.4605
3,	277.4845
3,	280.6001
3,	285.0288
4,	288.0187
5,	306.1315
